Name,Campus,Image,Gender,Color,Hair,Neutered,State,Description,Birthday,AdoptionDay,Position,Longitude,Latitude,OrderWeight
小白,本部,https://imgbed.codingkelvin.fun/uPic/xiaobai20220307190704.jpg,公,白,长毛,已绝育,在校,谨慎但愚蠢，害怕喜鹊，害怕小咪，不会吃鸡胸冻干等要用牙啃的食物，好肉泥慕斯罐头，不咋爱汤罐，补水困难户。,,,二教楼下和二教前的小花园,116.478423,39.87727,
小咪,本部,https://imgbed.codingkelvin.fun/uPic/xiaomi20230403222730.jpg,母,橘白,短毛,已绝育,在校,小咪幼时即嗜鸡肉罐头，目前沉迷鸡胸冻干，不爱吃猫粮所以每天都要在下午四点半到五点之间带罐头去看她，去晚了她就会跑去二教小白的喂食点抢饭吃，抢的反正比自己喂食点的香。不带罐头或者带晚了会被她骂，但我看各位都乐在其中啊。,2019/9/1,,以材料楼为中心向西向北扩散的区域,116.479356,39.876471,
谜黑,本部,,未知,黑,短毛,未绝育,在校,不知道是新猫还是原住民，反正黑猫都长一个样。因为社团没钱了暂缓抓捕。征集它的动向。,,,材料楼附近，二教附近,116.478869,39.876924,
大黑（小黑）,本部,https://imgbed.codingkelvin.fun/uPic/dahei20230403215200.jpg,公,黑,短毛,未绝育,在校,佛系男青年，2021 年底体积还是小黑，还会和熟人撒娇打滚。2022 年开始比鬼还精，抓不到，不踩机关，征会用抄子的同学来了却这桩心事。,,,礼堂和快递站附近,116.478423,39.87727,
老猫,本部,https://imgbed.codingkelvin.fun/uPic/laomao1283434587.jpg,母,彩狸,短毛,已绝育,喵星,不争不抢，谦让有礼。大概在 2022 年初，寒假期间失踪，因老猫当时已经超过 10 岁，可以认定死亡。,,,,116.478869,39.876924,
露蛋哥,本部,https://imgbed.codingkelvin.fun/uPic/loudange20220307190752.jpg,公,橘白,短毛,已绝育,休学,胆子比小咪的心眼还小，和井盖有一种奇异的友谊，曾经和小咪形影不离，绝育后影都没见过。重金悬赏下落（并没有金）。,,,,116.478847,39.876847,
井盖（小宝）,本部,https://imgbed.codingkelvin.fun/uPic/jinggai1273473.jpg,母,橘白,短毛,已绝育,在校,有脾气，只许她贴你不许你倒贴，未经她表示擅自上手会被叨。胆子逐年变小，和她相处需要放低身高和姿态。她偏爱肉块和肉泥罐头一些，对整块的大冻干不太感冒。,,,以学综楼、礼堂前草地、快递站和10号楼围成的大型矩阵为主要活动区域,116.48153,39.878007,
校霸（小黄）,本部,https://imgbed.codingkelvin.fun/uPic/xiaoba2358738457.jpg,公,橘白,长毛,已绝育,在校,亲人不亲猫，开心激动的时候会挠人，互动需要注意安全。喜欢被轻拍尾巴根。,,,可爱宝宝经常在3.4号楼，10号楼，快递站附近出没,116.481788,39.877664,
小小黄,本部,https://imgbed.codingkelvin.fun/uPic/xiaoxiaohuag238472833.jpg,公,橘白,长毛,未知,休学,以前常在 2 号楼下的草丛打滚，深受该楼栋同学喜爱，2020 年后失去下落。,,,,,,
小黑,本部,https://imgbed.codingkelvin.fun/uPic/xiaohei1238737.jpg,母,黑,短毛,已绝育,在校,美丽胆小且很能打，人类近身三米即进入观察备战状态，为了你我她的心理健康，不要靠近。,,,北图书馆附近和快递站附近出没,116.482098,39.877103,
